"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","861",".select() - select an option in a <select> element","Actions","2026-03-18","passed","2026-03-18","","","",""
"","483","cy.request() - make an XHR request","Network Requests","2026-03-18","passed","2026-03-18","","","",""
"","22","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-03-18","passed","2026-03-18","","","",""
"","189","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-03-18","passed","2026-03-18","","","",""
"","88",".filter() - get DOM elements that match the selector","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","173","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-03-18","passed","2026-03-18","","","",""
"","100","Get and set configuration options","Cypress APIs","2026-03-18","passed","2026-03-18","","Cypress.config()","",""
"","2070",".click() - click on a DOM element","Actions","2026-03-18","passed","2026-03-18","","","",""
"","93","Get current spec information","Cypress APIs","2026-03-18","passed","2026-03-18","","Cypress.spec","",""
"","234",".children() - get child DOM elements","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","88","invokes a callback function with the current subject","Connectors","2026-03-18","passed","2026-03-18","",".then()","",""
"","362","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-03-18","passed","2026-03-18","","","",""
"","95","cy.fixture() or require - load a fixture","Files","2026-03-18","passed","2026-03-18","","","",""
"","94",".parents() - get parent DOM elements from DOM elements","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","20","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-03-18","passed","2026-03-18","","","",""
"","582",".as() - alias a route for later use","Aliasing","2026-03-18","passed","2026-03-18","","","",""
"","181","can check off an item as completed","example to-do app","2026-03-18","passed","2026-03-18","","","",""
"","82","Get current version of Cypress being run","Cypress APIs","2026-03-18","passed","2026-03-18","","Cypress.version","",""
"","102",".its() - get properties on the current subject","Connectors","2026-03-18","passed","2026-03-18","","","",""
"","220","cy.window() - get the global window object","Window","2026-03-18","passed","2026-03-18","","","",""
"","487",".as() - alias a DOM element for later use","Aliasing","2026-03-18","passed","2026-03-18","","","",""
"","77","Control what is printed to the Command Log","Cypress APIs","2026-03-18","passed","2026-03-18","","Cypress.log","",""
"","91","cy.document() - get the document object","Window","2026-03-18","passed","2026-03-18","","","",""
"","538","cy.intercept() - route responses to matching requests","Network Requests","2026-03-18","passed","2026-03-18","","","",""
"","98","cy.location() - get window.location","Location","2026-03-18","passed","2026-03-18","","","",""
"","94",".siblings() - get all sibling DOM elements","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","91",".last() - get last DOM element","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","87","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-03-18","passed","2026-03-18","","Cypress.Screenshot","",""
"","356","cy.visit() - visit a remote url","Navigation","2026-03-18","passed","2026-03-18","","","",""
"","81","cy.title() - get the title","Window","2026-03-18","passed","2026-03-18","","","",""
"","178","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-03-18","passed","2026-03-18","","","",""
"","301","cy.fixture() - load a fixture","Files","2026-03-18","passed","2026-03-18","","","",""
"","174","cy.clearCookie() - clear a browser cookie","Cookies","2026-03-18","passed","2026-03-18","","","",""
"","247","cy.get() - query DOM elements","Querying","2026-03-18","passed","2026-03-18","","","",""
"","82","Get environment variables","Cypress APIs","2026-03-18","passed","2026-03-18","","Cypress.env()","",""
"","93",".next() - get next sibling DOM element","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","88",".spread() - spread an array as individual args to callback function","Connectors","2026-03-18","passed","2026-03-18","","","",""
"","2113","cy.scrollTo() - scroll the window or element to a position","Actions","2026-03-18","passed","2026-03-18","","","",""
"","346","cy.request() - pass result to the second request","Network Requests","2026-03-18","passed","2026-03-18","","","",""
"","237","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-03-18","passed","2026-03-18","","","",""
"","317","cy.getCookie() - get a browser cookie","Cookies","2026-03-18","passed","2026-03-18","","","",""
"","594","best practices - selecting elements","Querying","2026-03-18","passed","2026-03-18","","","",""
"","419","cy.wait() - wait for a specific route","Waiting","2026-03-18","passed","2026-03-18","","","",""
"","100","pass your own callback function to should()","Assertions","2026-03-18","passed","2026-03-18","","Explicit Assertions","",""
"","255",".should() - make an assertion about the current subject","Assertions","2026-03-18","passed","2026-03-18","","Implicit Assertions","",""
"","87","assert - assert shape of an object","Assertions","2026-03-18","passed","2026-03-18","","Explicit Assertions","",""
"","407","cy.reload() - reload the page","Navigation","2026-03-18","passed","2026-03-18","","","",""
"","205",".add() - create a custom command","Cypress APIs","2026-03-18","passed","2026-03-18","","Cypress.Commands","",""
"","289","cy.request() - verify response using BDD syntax","Network Requests","2026-03-18","passed","2026-03-18","","","",""
"","98","cy.setCookie() - set a browser cookie","Cookies","2026-03-18","passed","2026-03-18","","","",""
"","472",".clear() - clears an input or textarea element","Actions","2026-03-18","passed","2026-03-18","","","",""
"","170","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-03-18","passed","2026-03-18","","","",""
"","1585","retries the should callback until assertions pass","Assertions","2026-03-18","passed","2026-03-18","","Explicit Assertions","",""
"","280","cy.focused() - get the DOM element that has focus","Misc","2026-03-18","passed","2026-03-18","","","",""
"","106",".nextAll() - get all next sibling DOM elements","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","188",".rightclick() - right click on a DOM element","Actions","2026-03-18","passed","2026-03-18","","","",""
"","477","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-03-18","passed","2026-03-18","","","",""
"","95","cy.url() - get the current URL","Location","2026-03-18","passed","2026-03-18","","","",""
"","88",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","91","cy.root() - query the root DOM element","Querying","2026-03-18","passed","2026-03-18","","","",""
"","93","matches unknown text between two elements","Assertions","2026-03-18","passed","2026-03-18","","Explicit Assertions","",""
"","337","cy.request() - save response in the shared test context","Network Requests","2026-03-18","passed","2026-03-18","","","",""
"","177","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-03-18","passed","2026-03-18","","","",""
"","92","cy.wrap() - wrap an object","Misc","2026-03-18","passed","2026-03-18","","","",""
"","202","cy.hash() - get the current URL hash","Location","2026-03-18","passed","2026-03-18","","","",""
"","100",".find() - get descendant DOM elements of the selector","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","103","cy.readFile() - read file contents","Files","2026-03-18","passed","2026-03-18","","","",""
"","2533","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-03-18","passed","2026-03-18","","","",""
"","198","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-03-18","passed","2026-03-18","","","",""
"","219",".focus() - focus on a DOM element","Actions","2026-03-18","passed","2026-03-18","","","",""
"","186",".dblclick() - double click on a DOM element","Actions","2026-03-18","passed","2026-03-18","","","",""
"","88","can throw any error","Assertions","2026-03-18","passed","2026-03-18","","Explicit Assertions","",""
"","89",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","4412","cy.wait() - wait for a specific amount of time","Waiting","2026-03-18","passed","2026-03-18","","","",""
"","919","cy.screenshot() - take a screenshot","Misc","2026-03-18","passed","2026-03-18","","Cypress.Screenshot","",""
"","84","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-03-18","passed","2026-03-18","","","",""
"","787",".uncheck() - uncheck a checkbox element","Actions","2026-03-18","passed","2026-03-18","","","",""
"","243","can delete all completed tasks","example to-do app","2026-03-18","passed","2026-03-18","","with a checked task","",""
"","523","can add new todo items","example to-do app","2026-03-18","passed","2026-03-18","","","",""
"","785",".check() - check a checkbox or radio element","Actions","2026-03-18","passed","2026-03-18","","","",""
"","375",".submit() - submit a form","Actions","2026-03-18","passed","2026-03-18","","","",""
"","107",".and() - chain multiple assertions together","Assertions","2026-03-18","passed","2026-03-18","","Implicit Assertions","",""
"","120","cy.contains() - query DOM elements with matching content","Querying","2026-03-18","passed","2026-03-18","","","",""
"","832","cy.exec() - execute a system command","Misc","2026-03-18","passed","2026-03-18","","","",""
"","85","Get CPU architecture name of underlying OS","Cypress APIs","2026-03-18","passed","2026-03-18","","Cypress.arch","",""
"","112",".debug() - enable or disable debugging","Cypress APIs","2026-03-18","passed","2026-03-18","","Cypress.Cookies","",""
"","83",".not() - remove DOM elements from set of DOM elements","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","94",".eq() - get a DOM element at a specific index","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","159","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-03-18","passed","2026-03-18","","","",""
"","356","Cypress._ - call a lodash method","Utilities","2026-03-18","passed","2026-03-18","","","",""
"","132",".trigger() - trigger an event on a DOM element","Actions","2026-03-18","passed","2026-03-18","","","",""
"","91",".prev() - get previous sibling DOM element","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","79","Get underlying OS name","Cypress APIs","2026-03-18","passed","2026-03-18","","Cypress.platform","",""
"","3710",".type() - type into a DOM element","Actions","2026-03-18","passed","2026-03-18","","","",""
"","97",".within() - query DOM elements within a specific element","Querying","2026-03-18","passed","2026-03-18","","","",""
"","102",".closest() - get closest ancestor DOM element","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","92",".invoke() - invoke a function on the current subject","Connectors","2026-03-18","passed","2026-03-18","","","",""
"","84",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-03-18","passed","2026-03-18","","Cypress.dom","",""
"","1089","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-03-18","passed","2026-03-18","","","",""
"","161","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-03-18","passed","2026-03-18","","","",""
"","91","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-03-18","passed","2026-03-18","","","",""
"","248","can filter for uncompleted tasks","example to-do app","2026-03-18","passed","2026-03-18","","with a checked task","",""
"","90",".parent() - get parent DOM element from DOM elements","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","246","can filter for completed tasks","example to-do app","2026-03-18","passed","2026-03-18","","with a checked task","",""
"","85","yields the value yielded by the last Cypress command inside","Connectors","2026-03-18","passed","2026-03-18","",".then()","",""
"","92",".first() - get first DOM element","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","116","cy.getAllCookies() - get all browser cookies","Cookies","2026-03-18","passed","2026-03-18","","","",""
"","99","expect - make an assertion about a specified subject","Assertions","2026-03-18","passed","2026-03-18","","Explicit Assertions","",""
"","238",".each() - iterate over an array of elements","Connectors","2026-03-18","passed","2026-03-18","","","",""
"","994","cy.go() - go back or forward in the browser's history","Navigation","2026-03-18","passed","2026-03-18","","","",""
"","493","displays two todo items by default","example to-do app","2026-03-18","passed","2026-03-18","","","",""
"","148",".scrollIntoView() - scroll an element into view","Actions","2026-03-18","passed","2026-03-18","","","",""
"","82","yields the original subject without return","Connectors","2026-03-18","passed","2026-03-18","",".then()","",""
"","225","cy.request() with query parameters","Network Requests","2026-03-18","passed","2026-03-18","","","",""
"","92",".prevAll() - get all previous sibling DOM elements","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","91","yields the returned value to the next command","Connectors","2026-03-18","passed","2026-03-18","",".then()","",""
"","388",".blur() - blur off a DOM element","Actions","2026-03-18","passed","2026-03-18","","","",""
"","88",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","240","cy.writeFile() - write to a file","Files","2026-03-18","passed","2026-03-18","","","",""
"","2789","cy.viewport() - set the viewport size and dimension","Viewport","2026-03-18","passed","2026-03-18","","","",""
"","185","Cypress.$ - call a jQuery method","Utilities","2026-03-18","passed","2026-03-18","","","",""
"","98","finds element by class name regex","Assertions","2026-03-18","passed","2026-03-18","","Explicit Assertions","",""
"","105","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-03-18","passed","2026-03-18","","","",""
